"1036",3,9,3,3,9,2,7,7,0,0,1,3,1,3,0,1,1,4,2,0,5,16,21,6,7,16,12,2,34,12,4,12,20,22,22,28,0,3,82,35,23,45,0,18,23,14,1,5,0,3
"1037",2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,2,0,0,15,6,6,13,0,40,5,0,0,5,0,2,1,0,0,0,0,0
"1038",3,0,2,1,24,2,10,0,0,0,2,1,2,5,0,1,0,2,1,0,1,3,6,0,1,0,0,0,1,0,1,1,0,8,3,15,0,4,133,40,45,65,0,39,3,9,7,0,0,1
"1039",9,8,0,0,4,0,2,1,0,2,0,2,6,4,0,1,4,2,1,0,4,4,7,11,8,1,1,0,1,1,3,3,1,30,15,24,0,5,22,185,18,59,0,7,7,19,4,4,1,1
"1040",9,4,0,0,0,7,20,6,0,0,5,1,2,1,0,0,1,0,0,0,9,8,18,30,18,9,1,0,6,36,1,21,20,39,23,10,0,3,51,34,117,13,0,5,14,1,2,0,0,0
"1041",2,7,2,0,7,3,2,4,2,0,2,0,1,0,0,4,1,0,10,4,10,11,30,80,6,4,9,1,22,71,4,30,26,172,43,44,0,8,61,48,16,173,0,6,35,11,6,3,1,0
"1042",0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,26,0,1,0,0,0,0,1
"1043",2,3,2,1,3,1,1,7,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,7,1,3,4,4,2,0,3,13,5,2,1,0,6,47,6,5,5,0,64,13,4,2,10,2,3
"1044",8,10,2,5,17,1,0,5,0,0,4,2,3,3,0,0,0,4,0,0,2,0,2,1,1,2,2,0,0,0,2,2,1,8,4,3,0,0,14,7,27,48,0,24,107,17,4,1,2,7
"1045",47,58,42,36,65,25,23,7,0,6,16,28,21,21,2,7,10,27,10,4,8,5,16,5,1,2,0,1,1,6,0,9,4,12,19,8,0,2,18,40,6,48,0,16,52,1327,88,68,185,82
"1046",15,25,40,23,21,23,15,7,3,1,9,4,5,7,6,2,3,10,0,2,0,0,4,0,0,0,0,0,1,0,0,0,5,4,5,0,0,0,10,3,2,28,0,10,9,52,286,26,35,49
"1047",35,37,16,31,14,17,4,33,1,3,14,2,14,18,5,1,6,6,1,9,1,5,1,1,1,0,1,0,2,2,0,0,5,0,1,1,0,0,5,4,5,9,1,6,7,41,24,265,16,54
"1048",42,51,36,37,9,19,17,60,2,4,14,3,13,17,0,3,4,14,3,12,0,1,1,2,0,0,0,0,1,1,0,0,3,6,3,0,0,0,1,10,0,6,1,14,2,173,35,14,344,33
"1049",58,74,32,33,53,58,36,57,6,8,24,13,31,51,6,2,13,12,9,13,2,1,0,0,1,0,0,0,2,1,0,4,0,2,1,0,0,0,7,5,3,3,0,4,6,81,58,81,42,334
